外商投资产业指导目录
（2015年修订）
鼓励外商投资产业目录
（二十四）,废弃资源综合利用业
284.,煤炭洗选及粉煤灰（包括脱硫石膏）、煤矸石等综合利用
285.,全生物降解材料的生产
286.,废旧电器电子产品、汽车、机电设备、橡胶、金属、电池回收处理
四、,电力、热力、燃气及水生产和供应业
287.,单机60万千瓦及以上超超临界机组电站的建设、经营
288.,采用背压（抽背）型热电联产、热电冷多联产、30万千瓦及以上热电联产机组电站的建设、经营
289.,缺水地区单机60万千瓦及以上大型空冷机组电站的建设、经营
290.,整体煤气化联合循环发电等洁净煤发电项目的建设、经营
291.,单机30万千瓦及以上采用流化床锅炉并利用煤矸石、中煤、煤泥等发电项目的建设、经营
292.,发电为主水电站的建设、经营
293.,核电站的建设、经营（中方控股）
294.,新能源电站（包括太阳能、风能、地热能、潮汐能、潮流能、波浪能、生物质能等）建设、经营
295.,电网的建设、经营（中方控股）
296.,海水利用（海水直接利用、海水淡化）
297.,供水厂建设、经营
298.,再生水厂建设、经营
299.,污水处理厂建设、经营
300.,机动车充电站、电池更换站建设、经营
五、,交通运输、仓储和邮政业
301.,铁路干线路网的建设、经营（中方控股）
302.,城际铁路、市域（郊）铁路、资源型开发铁路和支线铁路及其桥梁、隧道、轮渡和站场设施的建设、经营
303.,高速铁路、铁路客运专线、城际铁路基础设施综合维修
304.,公路、独立桥梁和隧道的建设、经营
305.,公路货物运输公司
306.,港口公用码头设施的建设、经营
307.,民用机场的建设、经营（中方相对控股）
308.,航空运输公司（中方控股，且一家外商及其关联企业投资比例不得超过25%）
309.,农、林、渔业通用航空公司（限于合资、合作）
310.,定期、不定期国际海上运输业务（限于合资、合作）
311.,国际集装箱多式联运业务
312.,输油（气）管道、油（气）库的建设、经营
313.,煤炭管道运输设施的建设、经营
314.,自动化高架立体仓储设施，包装、加工、配送业务相关的仓储一体化设施建设、经营
六、,批发和零售业
315.,一般商品的共同配送、鲜活农产品和特殊药品低温配送等物流及相关技术服务
316.,农村连锁配送
317.,托盘及集装单元共用系统建设、经营
七、,租赁和商务服务业
318.,会计、审计（首席合伙人需具有中国国籍）
319.,国际经济、科技、环保、物流信息咨询服务
320.,以承接服务外包方式从事系统应用管理和维护、信息技术支持管理、银行后台服务、财务结算、软件开发、离岸呼叫中心、数据处理等信息技术和业务流程外包服务
321.,创业投资企业
322.,知识产权服务
323.,家庭服务业
八、,科学研究和技术服务业
324.,生物工程与生物医学工程技术、生物质能源开发技术
325.,同位素、辐射及激光技术
326.,海洋开发及海洋能开发技术、海洋化学资源综合利用技术、相关产品开发和精深加工技术、海洋医药与生化制品开发技术
327.,海洋监测技术（海洋浪潮、气象、环境监测）、海底探测与大洋资源勘查评价技术
328.,综合利用海水淡化后的浓海水制盐、提取钾、溴、镁、锂及其深加工等海水化学资源高附加值利用技术
329.,海上石油污染清理与生态修复技术及相关产品开发，海水富营养化防治技术，海洋生物爆发性生长灾害防治技术，海岸带生态环境修复技术
330.,节能环保技术开发与服务
331.,资源再生及综合利用技术、企业生产排放物的再利用技术开发及其应用
332.,环境污染治理及监测技术
333.,化纤生产及印染加工的节能降耗、三废治理新技术
334.,防沙漠化及沙漠治理技术
335.,草畜平衡综合管理技术
336.,民用卫星应用技术
337.,研究开发中心
338.,高新技术、新产品开发与企业孵化中心
339.,物联网技术开发与应用
340.,工业设计、建筑设计、服装设计等创意产业
九、,水利、环境和公共设施管理业
341.,综合水利枢纽的建设、经营（中方控股）
342.,城市封闭型道路建设、经营
343.,城市地铁、轻轨等轨道交通的建设、经营
344.,垃圾处理厂，危险废物处理处置厂（焚烧厂、填埋场）及环境污染治理设施的建设、经营
十、,教育
345.,非学制类职业培训机构
十一、,卫生和社会工作
346.,老年人、残疾人和儿童服务机构
347.,养老机构
十二、,文化、体育和娱乐业
348.,演出场所经营
349.,体育场馆经营、健身、竞赛表演及体育培训和中介服务限制外商投资产业目录
一、,农、林、牧、渔业
1.,农作物新品种选育和种子生产（中方控股）
二、,采矿业
2.,特殊和稀缺煤类勘查、开采（中方控股）
3.,贵金属（金、银、铂族）勘查、开采
4.,石墨勘查、开采
5.,锂矿开采、选矿
三、,制造业
6.,豆油、菜籽油、花生油、棉籽油、茶籽油、葵花籽油、棕榈油等食用油脂加工（中方控股），大米、面粉、原糖加工，玉米深加工
7.,生物液体燃料（燃料乙醇、生物柴油）生产（中方控股）
8.,出版物印刷（中方控股）
9.,钨、钼、锡（锡化合物除外）、锑（含氧化锑和硫化锑）等稀有金属冶炼
10.,稀土冶炼、分离（限于合资、合作）
11.,汽车整车、专用汽车和摩托车制造：中方股比不低于50%，同一家外商可在国内建立两家（含两家）以下生产同类（乘用车类、商用车类、摩托车类）整车产品的合资企业，如与中方合资伙伴联合兼并国内其他汽车生产企业可不受两家的限制
12.,船舶（含分段）的修理、设计与制造（中方控股）
13.,卫星电视广播地面接收设施及关键件生产
四、,电力、热力、燃气及水生产和供应业
14.,小电网范围内，单机容量30万千瓦及以下燃煤凝汽火电站、单机容量10万千瓦及以下燃煤凝汽抽汽两用机组热电联产电站的建设、经营
15.,城市人口50万以上的城市燃气、热力和供排水管网的建设、经营（中方控股）
五、,交通运输、仓储和邮政业
16.,铁路旅客运输公司（中方控股）
17.,公路旅客运输公司
18.,水上运输公司（中方控股）
19.,公务飞行、空中游览、摄影、探矿、工业等通用航空公司（中方控股）
六、,信息传输、软件和信息技术服务业
20.,电信公司：增值电信业务（外资比例不超过50%，电子商务除外），基础电信业务（外资比例不超过49%）
七、,批发和零售业
21.,粮食收购，粮食、棉花批发，大型农产品批发市场建设、经营
22.,船舶代理（中方控股）、外轮理货（限于合资、合作）
23.,加油站（同一外国投资者设立超过30家分店、销售来自多个供应商的不同种类和品牌成品油的连锁加油站，由中方控股）建设、经营
八、,金融业
24.,银行（单个境外金融机构及被其控制或共同控制的关联方作为发起人或战略投资者向单个中资商业银行投资入股比例不得超过20%，多个境外金融机构及被其控制或共同控制的关联方作为发起人或战略投资者投资入股比例合计不得超过25%，投资农村中小金融机构的境外金融机构必须是银行类金融机构）
25.,保险公司（寿险公司外资比例不超过50%）
26.,证券公司（设立时限于从事人民币普通股、外资股和政府债券、公司债券的承销与保荐，外资股的经纪，政府债券、公司债券的经纪和自营；设立满2年后符合条件的公司可申请扩大业务范围；外资比例不超过49%）、证券投资基金管理公司（外资比例不超过49%）
27.,期货公司（中方控股）
九、,租赁和商务服务业
28.,市场调查（限于合资、合作，其中广播电视收听、收视调查要求中方控股）
29.,资信调查与评级服务公司
十、,科学研究和技术服务业
30.,测绘公司（中方控股）
十一、,教育
31.,高等教育机构（限于合作、中方主导∗）
32.,普通高中教育机构（限于合作、中方主导）
33.,学前教育机构（限于合作、中方主导）
十二、,卫生和社会工作
34.,医疗机构（限于合资、合作）
十三、,文化、体育和娱乐业
∗中方主导是指校长或者主要行政负责人应当具有中国国籍，中外合作办学机构的理事会、董事会或者联合管理委员会的中方组成人员不得少于1/2（下同）。
35.,广播电视节目、电影的制作业务（限于合作）
36.,电影院的建设、经营（中方控股）
37.,大型主题公园的建设、经营
38.,演出经纪机构（中方控股）
十四、,国家法律法规和我国缔结或者参加的国际条约规定限制的其他产业禁止外商投资产业目录
一、,农、林、牧、渔业
1.,我国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料的生产（包括种植业、畜牧业、水产业的优良基因）
2.,农作物、种畜禽、水产苗种转基因品种选育及其转基因种子（苗）生产
3.,我国管辖海域及内陆水域水产品捕捞
二、,采矿业
6.,放射性矿产的勘查、开采、选矿
三、,制造业
（一）,医药制造业
7.,列入《野生药材资源保护管理条例》和《中国稀有濒危保护植物名录》的中药材加工
8.,中药饮片的蒸、炒、炙、煅等炮制技术的应用及中成药保密处方产品的生产
（二）,石油加工、炼焦和核燃料加工业
9.,放射性矿产冶炼、加工，核燃料生产
（三）,专用设备制造业
10.,武器弹药制造
（四）,其他制造业
11.,象牙雕刻
12.,虎骨加工
13.,宣纸、墨锭生产
四、,电力、热力、燃气及水生产和供应业
14.,大电网范围内，单机容量30万千瓦及以下燃煤凝汽火电站、单机容量20万千瓦及以下燃煤凝汽抽汽两用热电联产电站的建设、经营
五、,交通运输、仓储和邮政业
15.,空中交通管制
16.,邮政公司、信件的国内快递业务
六、,批发和零售业
17.,烟叶、卷烟、复烤烟叶及其他烟草制品的批发、零售
七、,租赁和商务服务业
18.,社会调查
19.,中国法律事务咨询（提供有关中国法律环境影响的信息除外）
八、,科学研究和技术服务业
20.,人体干细胞、基因诊断与治疗技术开发和应用
21.,大地测量、海洋测绘、测绘航空摄影、行政区域界线测绘、地形图、世界政区地图、全国政区地图、省级及以下政区地图、全国性教学地图、地方性教学地图和真三维地图编制、导航电子地图编制，区域性的地质填图、矿产地质、地球物理、地球化学、水文地质、环境地质、地质灾害、遥感地质等调查
九、,水利、环境和公共设施管理业
22.,自然保护区和国际重要湿地的建设、经营
23.,国家保护的原产于我国的野生动、植物资源开发
十、,教育
24.,义务教育机构，军事、警察、政治和党校等特殊领域教育机构
十一、,文化、体育和娱乐业
25.,新闻机构
26.,图书、报纸、期刊的出版业务
27.,音像制品和电子出版物的出版、制作业务
28.,各级广播电台（站）、电视台（站）、广播电视频道（率）、广播电视传输覆盖网（发射台、转播台、广播电视卫星、卫星上行站、卫星收转站、微波站、监测台、有线广播电视传输覆盖网）
29.,广播电视节目制作经营公司
30.,电影制作公司、发行公司、院线公司
31.,新闻网站、网络出版服务、网络视听节目服务、互联网上网服务营业场所、互联网文化经营（音乐除外）
32.,经营文物拍卖的拍卖企业、文物商店
33.,高尔夫球场、别墅的建设
十一、,其他行业
34.,危害军事设施安全和使用效能的项目
35.,博彩业（含赌博类跑马场）
36.,色情业
十二、,国家法律法规和我国缔结或者参加的国际条约规定禁止的其他产业注：《内地与香港关于建立更紧密经贸关系的安排》及其补充协议、《内地与澳门关于建立更紧密经贸关系的安排》及其补充协议、《海峡两岸经济合作框架协议》及其后续协议、我国与有关国家签订的自由贸易区协议、投资协定另有规定的，从其规定。
